PlantIndex,MeanShootGreen,MeanRootGray,BranchCount,ManualLength_mm,ManualDiameter_mm
1,202.80026920573275,212.40923288288772,6,210.44001488148086,5.942408780388124
2,167.26902643024422,225.15776674306085,6,212.82829835907654,2.048644535172198
3,168.83378802910053,219.77509836015577,6,224.4180872837854,5.003693072838294
4,165.1534602155469,181.30093233637956,6,185.73446444431298,5.003693072838294
5,179.11991683538673,199.30914504555687,6,197.9465027087393,7.474140593095757
